epsilon,||Ueps-I||,delta(Phi_eps),delta_over_operator_norm
1.000000000000000021e-02,9.999958333385414525e-03,3.273852409486518317e-03,3.273866050578011500e-01
3.588235294117646940e-02,3.588042796876542845e-02,1.185615458781456161e-02,3.304351497182687614e-01
6.176470588235294379e-02,6.175488864747637197e-02,2.059692495507902885e-02,3.335270357729116508e-01
8.764705882352941124e-02,8.761900712931307289e-02,2.949755455262462883e-02,3.366570281844266099e-01
1.135294117647058787e-01,1.134684519060956825e-01,3.855883900180998719e-02,3.398199090062543615e-01
1.394117647058823739e-01,1.392988939270750348e-01,4.778098178760457893e-02,3.430104894631726964e-01
1.652941176470588414e-01,1.651060073239257742e-01,5.716359968957746007e-02,3.462236209093634276e-01
1.911764705882353088e-01,1.908854701352071526e-01,6.670573015787126248e-02,3.494542047156473097e-01
2.170588235294117763e-01,2.166329650301695442e-01,7.640584044160707300e-02,3.526972011437241594e-01
2.429411764705882437e-01,2.423441800317848172e-01,8.626183828830016886e-02,3.559476372693845536e-01
2.688235294117647389e-01,2.680148092388806025e-01,9.628685621500140956e-02,3.592594621485311057e-01
2.947058823529412064e-01,2.936405535472570438e-01,1.064722231819444365e-01,3.625937286104772839e-01
3.205882352941176738e-01,3.192171213696650134e-01,1.168118450567349198e-01,3.659322675285407445e-01
3.464705882352941413e-01,3.447402293545258067e-01,1.273022392928527258e-01,3.692700429282854691e-01
3.723529411764706087e-01,3.702056031032712191e-01,1.379393902566629082e-01,3.726021137994063315e-01
3.982352941176470762e-01,3.956089778861838768e-01,1.487187665259036562e-01,3.759236388429229025e-01
4.241176470588235436e-01,4.209460993566199183e-01,1.596439627743670986e-01,3.792503672521713165e-01
4.500000000000000111e-01,4.462127242634907898e-01,1.707410276379977832e-01,3.826449098237152957e-01
